paperId,author,paperName,majorId
470,Ngoc Chi Nguyen and Lien-Hoa Nguyen Dieu,CHROMONES AND NORSESQUITERPENOIDS FROM FICUS PUMILA,0
474,"Trí Hiếu Nguyễn, Thi Thảo Ly Nguyễn, Thị Lệ Thu Nguyễn, Ngọc Dũng Bùi and Diệu Liên Hoa Nguyễn",Four xanthones from the chloroform extract of the bark of Garcinia lanessanii (Gutrtiferea),0
476,Lien Hoa Dieu Nguyen and Chi Hao Le,THREE NEW ROCAGLAMIDES AND A NOVEL TRITERPENOID FROM Aglaia odorata,0
477,"Thị Thảo Ly Nguyễn, Thị Lệ Thu Nguyễn and Diệu Liên Hoa Nguyễn",Three new labdane diterpenoids from the aerial parts of the Leonurus japonicus,0
478,"Lien Hoa Dieu Nguyen, Chi Hao Le and Kim Thanh Tran",TWO NEW COMPOUNDS FROM THE BARK OF Walsura robusta,0
479,"Trương Quốc Vinh, Nguyễn Thị Thảo Ly, Nguyễn Thị Lệ Thu, Bùi Ngọc Dũng and Nguyễn Diệu Liên Hoa",PHÂN LẬP XANTHONE TỪ CÀNH CÂY BỨA LÁ TRÒN DÀI (Garcinia oblongifolia),0
2,Duc Hung Le,Xây Dựng Hệ Thống 6 Thực Thi Bảo Mật Trên Phần Cứng,7
3,Duc Hung Le,Thực Hiện Và Đánh Giá Thuật Toán Hàm Băm SHA-3 Trên Các Nền Tảng Vi Xử Lý,7
19,Xuân Tân Trần,"BUILD THE CONTACT BETWEEN GRAVITY, SHIFT, VOLTAGE IN ACCELEROMETER",7
82,"Anh Le, Trang Nguyen and Tu Bui",APLICATION OF THE GENETIC ALGORITHM IN VLSI OPTIMIZATION,7
96,Thi Nguyen Duy Manh and Qui Nguyen My,A DESIGN AND IMPLEMENTATION OF ADVANCED ENCRYPTION STANDARD ALGORITHM AES-128bits ON FPGA XILINX KIT,7
99,"Le Tri, Nguyễn Quang Anh and Nguyễn Quốc Khoa",NGHIÊN CỨU MÔ HÌNH DỮ LIỆU 3D BIỂU DIỄN NHÀ CAO TẦNG,7
230,Lam Nguyen Dinh,APPLYING MACHINE LEARNING ON GOOGLE CLOUD PLATFORM TO RECOGNIZE PNEUMONIA THROUGH X-RAY IMAGES USING CONVOLUTIONAL NEURAL NETWORK,7
